title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
当代国际城 2室2厅 83.59平米,https://wh.lianjia.com/chengjiao/104102096865.html,2019.05.13,140万,高楼层(共30层) 2016年建板楼,16749元/平,近地铁
当代国际城 2室1厅 83平米,https://wh.lianjia.com/chengjiao/104101920383.html,2019.04.22,153万,中楼层(共30层) 2017年建板楼,18410元/平,近地铁
当代国际城 3室2厅 103.94平米,https://wh.lianjia.com/chengjiao/104101779572.html,2019.04.14,224万,中楼层(共11层) 2016年建板楼,21551元/平,
当代国际城 3室2厅 103平米,https://wh.lianjia.com/chengjiao/104101801592.html,2019.03.11,186万,中楼层(共11层) 2017年建板楼,18059元/平,近地铁
当代国际城 3室2厅 112平米,https://wh.lianjia.com/chengjiao/104101704502.html,2019.02.21,193万,低楼层(共30层) 2017年建板楼,17233元/平,近地铁
当代国际城 2室2厅 83.82平米,https://wh.lianjia.com/chengjiao/104101708987.html,2019.02.17,154万,高楼层(共30层) 2017年建板楼,18349元/平,近地铁
当代国际城 3室2厅 118.47平米,https://wh.lianjia.com/chengjiao/104101443343.html,2019.01.20,235万,中楼层(共11层) 2017年建板楼,19837元/平,近地铁
当代国际城 2室1厅 83.6平米,https://wh.lianjia.com/chengjiao/104101089076.html,2018.07.30,166万,中楼层(共30层) 2016年建板楼,19857元/平,近地铁
当代国际城 2室2厅 83.6平米,https://wh.lianjia.com/chengjiao/104100987807.html,2018.06.11,160万,中楼层(共30层) 2016年建板楼,19079元/平,近地铁
当代国际城 2室2厅 83平米,https://wh.lianjia.com/chengjiao/104100785970.html,2018.02.02,155万,高楼层(共30层) 2016年建板楼,18675元/平,近地铁
